time_perf,ql_0,ql_1,ql_2,ql_3,ql_4,ql_5,qr_0,qr_1,qr_2,qr_3,qr_4,qr_5
8.286542499999999478e+00,-3.782344271618643394e-01,-1.990230834919577418e-01,7.840308243031701707e-02,6.817345015658897722e-01,-3.113319139832348981e-01,2.137190236979165103e-01,-4.647487516901577798e-01,-8.791229229678010348e-02,4.399206282253653733e-02,8.502468710509951677e-01,-3.874333987942124580e-01,9.827962052111033353e-02
8.295502000000000820e+00,-3.848489029106998416e-01,-1.879986467411129958e-01,7.555625270422750006e-02,6.951171846162882417e-01,-3.173948711861935834e-01,2.024470260855080195e-01,-4.653502751132597148e-01,-7.721941353087502513e-02,3.871631674996289796e-02,8.521392349204717220e-01,-3.882847152354935716e-01,8.636440347755180991e-02
8.304998799999999903e+00,-3.919553742561327492e-01,-1.751456717867809765e-01,7.190142635101492985e-02,7.095867320744950746e-01,-3.239468154660638533e-01,1.891899358233851414e-01,-4.655619605266363425e-01,-6.472338962724100142e-02,3.248259541113052151e-02,8.533312208526524500e-01,-3.888209116558893896e-01,7.240692173572932377e-02
8.315329900000000052e+00,-3.990223840140868505e-01,-1.610870744895875895e-01,6.752478501873837580e-02,7.240721463564758764e-01,-3.305022971353714922e-01,1.745540683270732085e-01,-4.651861713622273964e-01,-5.101759463992450172e-02,2.559029576704019426e-02,8.533728568393650349e-01,-3.888396403794853740e-01,5.707092007877793971e-02
8.326207999999999387e+00,-4.056709260670160466e-01,-1.463713345808195232e-01,6.255962856481889212e-02,7.377895164709284970e-01,-3.367067388659386040e-01,1.590920413401491484e-01,-4.641051082145690732e-01,-3.662765099081033426e-02,1.832862465072992997e-02,8.519845033212121166e-01,-3.882151092674495096e-01,4.095574504146200917e-02
8.336599599999999555e+00,-4.116747764770041229e-01,-1.314329225064430062e-01,5.715933161000230633e-02,7.502531488687775862e-01,-3.423411182333175873e-01,1.432583797844170781e-01,-4.622816579267123860e-01,-2.197296664247860853e-02,1.094767299298338159e-02,8.490614475249396165e-01,-3.869000720656328163e-01,2.454879870175616374e-02
8.345351700000000150e+00,-4.169293499688155880e-01,-1.165881758414621938e-01,5.147385854021724327e-02,7.612220219782850350e-01,-3.472973583695884159e-01,1.273983629292865516e-01,-4.597442246960929402e-01,-7.361823494326014128e-03,3.645012433300287569e-03,8.446425005652500317e-01,-3.849116929136924270e-01,8.214762369013590970e-03
8.355353100000000310e+00,-4.214134571829034059e-01,-1.020503685146729733e-01,4.563494623710151465e-02,7.706281392114302520e-01,-3.515456399933238885e-01,1.117568368991325722e-01,-4.565670324889709586e-01,6.995147537242729641e-03,-3.435837517196338453e-03,8.388674908552005149e-01,-3.823124755222266913e-01,-7.793386681292916417e-03
8.365099700000000027e+00,-4.251561112218819605e-01,-8.795255358358033959e-02,3.975011651041304717e-02,7.785115579592840618e-01,-3.551048665132885418e-01,9.649687361889636161e-02,-4.528524062909753400e-01,2.096380301143563329e-02,-1.019942288131447938e-02,8.319383118091412399e-01,-3.791928197065215222e-01,-2.331295828041280924e-02
8.375451999999999231e+00,-4.282123297358852443e-01,-7.437102537427264792e-02,3.390305160119511108e-02,7.849713690715036662e-01,-3.580204437549383556e-01,8.172114915041862881e-02,-4.487175143071349681e-01,3.446442435590224562e-02,-1.658892791749422280e-02,8.240894637800426636e-01,-3.756578482521466533e-01,-3.824761570907878050e-02
8.385116599999999920e+00,-4.306476329719446383e-01,-6.134552126442827102e-02,2.815732905252787965e-02,7.901332578871258505e-01,-3.603496159117423048e-01,6.749157950959155938e-02,-4.442856219103704651e-01,4.745252611027095391e-02,-2.257635218117526321e-02,8.155685326908486132e-01,-3.718186865304802247e-01,-5.254570655019712849e-02
8.394930799999999138e+00,-4.325292931691628873e-01,-4.889456054019425402e-02,2.256110576141656665e-02,7.941305061765309148e-01,-3.621529039797248828e-01,5.384492403204198946e-02,-4.396807990096741614e-01,5.990417255868751845e-02,-2.815407082555387852e-02,8.066244278646044208e-01,-3.677872099513228576e-01,-6.618317891165730049e-02
8.405037699999999390e+00,-4.339221250723933609e-01,-3.702576305832083747e-02,1.715127339662814165e-02,7.970943347973751258e-01,-3.634897732786406266e-01,4.080366245101691575e-02,-4.350247531765006892e-01,7.180605422418873118e-02,-3.332846152922508409e-02,7.975005004709272427e-01,-3.636729650446013373e-01,-7.915166366763842776e-02
8.415260399999999308e+00,-4.348869408279958937e-01,-2.574180942197767941e-02,1.195644614507340719e-02,7.991498901451761228e-01,-3.644168499277160578e-01,2.838249070731659052e-02,-4.304346298797209758e-01,8.314976249590522173e-02,-3.811553204174633613e-02,7.884299979021527349e-01,-3.595811220322957524e-01,-9.145122617572999657e-02
8.425839399999999202e+00,-4.354803069755587841e-01,-1.504308519243391373e-02,6.998730053397572703e-03,8.004150891297125980e-01,-3.649874246079605200e-01,1.659135134937111608e-02,-4.260209701450022868e-01,9.392929893789592199e-02,-4.253808538267955797e-02,7.796320732615864557e-01,-3.556106603649866749e-01,-1.030867430858626588e-01
8.435421200000000397e+00,-4.357547418003829831e-01,-4.928145715100251678e-03,2.294554430775974652e-03,8.010005140195417539e-01,-3.652514261823753827e-01,5.436134435618174797e-03,-4.218854020727461629e-01,1.041407323518488415e-01,-4.662383926588464789e-02,7.713074154708774444e-01,-3.518523693501367511e-01,-1.140666877895220171e-01
8.447991200000000589e+00,-4.357589012868956502e-01,4.606943399084739710e-03,-2.145026880834732808e-03,8.010093883298248230e-01,-3.652554280622775096e-01,-5.081833847185030471e-03,-4.181179928047529248e-01,1.137829708125739359e-01,-5.040397586674294494e-02,7.636333165835953452e-01,-3.483865845358447011e-01,-1.244031754339233464e-01
8.460095900000000668e+00,-4.355376002088530152e-01,1.356951868186317967e-02,-6.314168900275474172e-03,8.005372933634848920e-01,-3.650425340707510458e-01,-1.496656671010413060e-02,-4.147944614404938668e-01,1.228587792354449704e-01,-5.391175176236973066e-02,7.567585599899331328e-01,-3.452808369121593834e-01,-1.341123235385093815e-01
8.471151499999999501e+00,-4.373825230278334808e-01,2.149103311304578767e-02,-1.004781292651468760e-02,8.037787397715998594e-01,-3.665041907480066641e-01,-2.372356434503480882e-02,-4.116953531190101767e-01,1.313784068580448050e-01,-5.713900997456966557e-02,7.502959911861468711e-01,-3.423604807809419448e-01,-1.432003573557681653e-01
8.483594500000000593e+00,-4.435223482785070059e-01,2.791456956430971026e-02,-1.325945339827172553e-02,8.148174952888265210e-01,-3.714802277068134373e-01,-3.090292267069732340e-02,-4.085808120352850681e-01,1.393585322146211336e-01,-6.006712709121475591e-02,7.438211130087015732e-01,-3.394337759842001034e-01,-1.516755327186378732e-01
8.492664500000000061e+00,-4.537439960359263003e-01,3.289191956388526350e-02,-1.603649987648414488e-02,8.332748842811463774e-01,-3.797946533084797238e-01,-3.659173336462744758e-02,-4.054793325137449611e-01,1.468196116452020750e-01,-6.271628320573530146e-02,7.373929822276394930e-01,-3.365274322650573247e-01,-1.595650969372942596e-01
8.505392900000000367e+00,-4.676511441548930059e-01,3.650504945683930025e-02,-1.842939761886741579e-02,8.584279450178557980e-01,-3.911132307786129303e-01,-4.089144707911696042e-02,-4.024137428726194954e-01,1.537872197022747134e-01,-6.510832690503010056e-02,7.310582532395262234e-01,-3.336625773369963355e-01,-1.669015339898937134e-01
8.514220699999999198e+00,-4.847175771404955702e-01,3.886241686003089058e-02,-2.045779264254310448e-02,8.893099294379247510e-01,-4.049899358298745256e-01,-4.391580582321551879e-02,-3.994017811334229506e-01,1.602899675718041372e-01,-6.726553287665071323e-02,7.248525647045553910e-01,-3.308553756870593610e-01,-1.737201686840205428e-01
8.525364899999999579e+00,-5.043450807244407308e-01,4.009436887635464686e-02,-2.212086210035923983e-02,9.248187315847982148e-01,-4.209171893591836522e-01,-4.578895837191393481e-02,-3.964571036844572460e-01,1.663572255761645025e-01,-6.920951400707320289e-02,7.188027905533989070e-01,-3.281180397300791363e-01,-1.800566595110180412e-01
8.535221099999999339e+00,-5.259135394924553397e-01,4.034819921069576765e-02,-2.340910844039933991e-02,9.638106149767846631e-01,-4.383694188100619726e-01,-4.664403632425725976e-02,-3.935904619567437424e-01,1.720171310249769547e-01,-7.096043628097858935e-02,7.129295921632916588e-01,-3.254599791526309183e-01,-1.859448750588443555e-01
8.544811400000000390e+00,-5.488172594869429322e-01,3.978320885878683377e-02,-2.431538955868073337e-02,1.005168426519500002e+00,-4.568349267713429640e-01,-4.662220407706338388e-02,-3.908108370249532837e-01,1.772951134548030883e-01,-7.253656254057916364e-02,7.072498371509627901e-01,-3.228888918608356917e-01,-1.914153736756639967e-01
8.555269799999999591e+00,-5.724871659941296320e-01,3.856595622972402992e-02,-2.484383577261972675e-02,1.047843810563268363e+00,-4.758357917325337638e-01,-4.587202972274025126e-02,-3.881263925511095336e-01,1.822129988106715448e-01,-7.395408312835916043e-02,7.017786054730592582e-01,-3.204116697983163675e-01,-1.964945247225673985e-01
8.564290200000000297e+00,-5.964016505006083380e-01,3.686578679950147652e-02,-2.501608612149763822e-02,1.090878578333036586e+00,-4.949381229568849960e-01,-4.454893103331651616e-02,-3.855451729210098155e-01,1.867886498264916817e-01,-7.522716219277847394e-02,6.965306449249322185e-01,-3.180350567132115280e-01,-2.012042040483981720e-01
8.574761900000000381e+00,-6.200897052533161924e-01,3.485068514391409522e-02,-2.487476913077379947e-02,1.133411860698991802e+00,-5.137556730427776941e-01,-4.281441178973147826e-02,-3.830755260868849987e-01,1.910360461140832022e-01,-7.636812379171953324e-02,6.915212471149017048e-01,-3.157660442595777717e-01,-2.055619461181636687e-01
8.584094199999999120e+00,-6.431295689908754776e-01,3.268347797134851795e-02,-2.448438565322152982e-02,1.174678820212902153e+00,-5.319494242691895636e-01,-4.083480611887559120e-02,-3.807262669872903404e-01,1.949656889079169897e-01,-7.738771086085560746e-02,6.867665879288615827e-01,-3.136120259068824190e-01,-2.095814221198471217e-01
8.593763400000000274e+00,-6.651452539219186999e-01,3.051842096487944467e-02,-2.392983027461825785e-02,1.214005085586375543e+00,-5.492250277481929288e-01,-3.877928567758839873e-02,-3.785066190914508355e-01,1.985852188477590374e-01,-7.829536501235301316e-02,6.822836180304641118e-01,-3.115807470492786280e-01,-2.132731223902359086e-01
8.604728899999999570e+00,-6.858024927357079248e-01,2.849821220584436432e-02,-2.331281066461343698e-02,1.250799548657230531e+00,-5.653292801618476915e-01,-3.681695392116991067e-02,-3.764259820101598653e-01,2.019001503996129543e-01,-7.909949124579163104e-02,6.780896069400226267e-01,-3.096800979829281708e-01,-2.166451415368658984e-01
8.613991800000000865e+00,-7.048050005268516882e-01,2.675148067831112364e-02,-2.274645255853413595e-02,1.284547029036898991e+00,-5.800463104163586792e-01,-3.511295185154249265e-02,-3.744935758492021205e-01,2.049146463226414472e-01,-7.980768634034784981e-02,6.742014466710060105e-01,-3.079177976421925145e-01,-2.197039881684251239e-01
8.623772300000000612e+00,-7.218915020200090682e-01,2.539079303653690722e-02,-2.234843873973080264e-02,1.314801577476875316e+00,-5.931938248001564773e-01,-3.382362703529526865e-02,-3.727180110830012327e-01,2.076322754342607713e-01,-8.042692170876897251e-02,6.706348142841669357e-01,-3.063010130893348837e-01,-2.224553636082672314e-01
8.634241199999999949e+00,-7.368336871735552407e-01,2.451120242382631709e-02,-2.223312506402375099e-02,1.341180764746452425e+00,-6.046195827539735390e-01,-3.309096391944441051e-02,-3.711068283519586286e-01,2.100567143275107185e-01,-8.096368044416246690e-02,6.674032816158801396e-01,-3.048359548018941823e-01,-2.249048730014915898e-01
8.645244599999999835e+00,-7.494350803317375576e-01,2.418931941207813630e-02,-2.250317894749920278e-02,1.363361085068191869e+00,-6.141981977847086327e-01,-3.303660790300617933e-02,-3.696660555093622125e-01,2.121923552049236328e-01,-8.142405163160870707e-02,6.645174645420999227e-01,-3.035274897233022351e-01,-2.270586344700122050e-01
8.653947300000000453e+00,-7.595307025717231708e-01,2.448280766952537491e-02,-2.324135299676499677e-02,1.381074507136437646e+00,-6.218283383705891509e-01,-3.375589469738547732e-02,-3.683998525821561287e-01,2.140447509520639890e-01,-8.181378022222451918e-02,6.619843495488293428e-01,-3.023788346760505341e-01,-2.289237210332604466e-01
8.663901799999999653e+00,-7.669873456143238011e-01,2.543020499184134309e-02,-2.450310231034169561e-02,1.394106160037945408e+00,-6.274304062600544185e-01,-3.531243282854394649e-02,-3.673102848517700303e-01,2.156208746485228644e-01,-8.213828141408741068e-02,6.598068735714779365e-01,-3.013913647374066862e-01,-2.305084165034025911e-01
8.673591599999999957e+00,-7.717042462916463563e-01,2.705101104286322666e-02,-2.631082284960628570e-02,1.402293111225952238e+00,-6.309447743446003898e-01,-3.773390685004868184e-02,-3.663972044015805229e-01,2.169292499029984445e-01,-8.240264202111724501e-02,6.579837139535715806e-01,-3.005645171405966209e-01,-2.318223451887717890e-01
8.683818199999999266e+00,-7.736139479444724687e-01,2.934596907806308330e-02,-2.865039933033086683e-02,1.405524164031954903e+00,-6.323306618800446088e-01,-4.100970157176532516e-02,-3.656582147354153767e-01,2.179800037056174311e-01,-8.261162520192533165e-02,6.565092354532815477e-01,-2.998957667088251178e-01,-2.328765288879696693e-01
8.695605300000000426e+00,-7.726831531520425012e-01,3.229746716022363628e-02,-3.147054348281885794e-02,1.403740558686521922e+00,-6.315657010795030502e-01,-4.509076486704342857e-02,-3.650887023364403627e-01,2.187848706898767315e-01,-8.276968646002536012e-02,6.553735610792159605e-01,-2.993806577862918594e-01,-2.336834006182928469e-01
8.704186500000000493e+00,-7.689134102331947052e-01,3.587001505373477173e-02,-3.468511548858432825e-02,1.396937410258279222e+00,-6.286462069015268384e-01,-4.989187465281039874e-02,-3.646819261685504965e-01,2.193571615316087797e-01,-8.288100314047275319e-02,6.545627487799361433e-01,-2.990128845099642163e-01,-2.342567876379181013e-01
8.715159399999999223e+00,-7.623415338557596455e-01,4.001080493220410261e-02,-3.817829190774002512e-02,1.385165676498582243e+00,-6.235881094059729790e-01,-5.529618909690851847e-02,-3.644291604642780902e-01,2.197116980759024063e-01,-8.294951600636624178e-02,6.540590654391049696e-01,-2.987844155170069627e-01,-2.346118657592425882e-01
8.724318800000000707e+00,-7.530397345717904090e-01,4.465042018710341232e-02,-4.181212418816615539e-02,1.368534436287590417e+00,-6.164284572608442758e-01,-6.116168452821525714e-02,-3.643198878187461354e-01,2.198647125236647959e-01,-8.297897925996733370e-02,6.538413535646725450e-01,-2.986856609493746539e-01,-2.347650814126845953e-01
8.733958899999999304e+00,-7.411155153165653875e-01,4.970379886011655479e-02,-4.543577607195015133e-02,1.347213287671245041e+00,-6.072273644284607030e-01,-6.732887074117109572e-02,-3.643420392098434268e-01,2.198337063290203286e-01,-8.297301413176327856e-02,6.538854857179776658e-01,-2.987056794474449717e-01,-2.347340360320349373e-01
8.744210100000000097e+00,-7.267114729226312742e-01,5.507157287596542439e-02,-4.889557739771355216e-02,1.321434745784833886e+00,-5.960702595950380100e-01,-7.362905523793668305e-02,-3.644822758754091563e-01,2.196372651559344025e-01,-8.293516062158312607e-02,6.541648986691495082e-01,-2.988324214270781098e-01,-2.345373278701936848e-01
8.754231400000000107e+00,-7.100052059370538515e-01,6.064188625909805452e-02,-5.204500513280230223e-02,1.291496626198443742e+00,-5.830703137612918141e-01,-7.989242252545605827e-02,-3.647263057680051879e-01,2.192948283408417964e-01,-8.286892199201356668e-02,6.546511950023319315e-01,-2.990530029963021086e-01,-2.341943483498715450e-01
8.763514699999999991e+00,-6.912095647296340184e-01,6.629274947597529888e-02,-5.475379247962397500e-02,1.257764519328953057e+00,-5.683709624973847241e-01,-8.595529357278682003e-02,-3.650592251927655685e-01,2.188264141011939667e-01,-8.277779711484911651e-02,6.553147956390246165e-01,-2.993540029389096802e-01,-2.337250328220064621e-01
8.773978299999999564e+00,-6.705734785407976295e-01,7.189492487300275236e-02,-5.691554292556699757e-02,1.220674570570849937e+00,-5.521484951157731302e-01,-9.166610496544702613e-02,-3.654658746096895450e-01,2.182523047708728736e-01,-8.266529671453004546e-02,6.561256232878172057e-01,-2.997217736299901958e-01,-2.331495687176324827e-01
8.784449999999999648e+00,-6.483835531361118454e-01,7.731527454001208000e-02,-5.845344404531793714e-02,1.180736848096056946e+00,-5.346147362798578939e-01,-9.688985693453025516e-02,-3.659311966135478933e-01,2.175926994035184414e-01,-8.253494089420665425e-02,6.570537945141730063e-01,-3.001427557111528976e-01,-2.324880673170197087e-01
8.793931399999999954e+00,-6.249665484187241216e-01,8.242044949122062647e-02,-5.932389026217244066e-02,1.138539569711227273e+00,-5.160198734701921808e-01,-1.015109841115355988e-01,-3.664405837621528272e-01,2.168673440903772232e-01,-8.239023700514258586e-02,6.580702969359073506e-01,-3.006037858311239042e-01,-2.317602086448256882e-01
8.803776700000000233e+00,-6.006927068838003869e-01,8.708076540655240727e-02,-5.951799793165424290e-02,1.094754324618175900e+00,-4.966554572606209916e-01,-1.054347716960253450e-01,-3.669802040445556135e-01,2.160951532999160207e-01,-8.223463883571979771e-02,6.591476277201637757e-01,-3.010923866270522886e-01,-2.309848723229053491e-01
8.814089900000000810e+00,-5.759796850125403767e-01,9.117409712068802463e-02,-5.906110754494764414e-02,1.050142098122905487e+00,-4.768574831810195036e-01,-1.085875558833333948e-01,-3.675372921514266089e-01,2.152938384720748388e-01,-8.207149012945813560e-02,6.602603697210849276e-01,-3.015970282157103277e-01,-2.301797705531933025e-01
8.823689699999999192e+00,-5.512964932574800914e-01,9.458962886289357108e-02,-5.801040908172772070e-02,1.005559291842763159e+00,-4.570092060745079010e-01,-1.109160079405380334e-01,-3.681003951541158004e-01,2.144795629133064985e-01,-8.190395743798783990e-02,6.613856819592474068e-01,-3.021073506461799951e-01,-2.293611026460367353e-01
8.834116500000000372e+00,-5.271663115712872383e-01,9.723131481795066478e-02,-5.645080374153854663e-02,9.619619116769726475e-01,-4.375428850688773963e-01,-1.123858136168798122e-01,-3.686595616673053466e-01,2.136666444778914098e-01,-8.173495908420025380e-02,6.625036816529927819e-01,-3.026143370116654019e-01,-2.285432533498943930e-01
8.845192100000000224e+00,-5.041662605517192031e-01,9.902094131306715674e-02,-5.448905511950918878e-02,9.204045755358443159e-01,-4.189389668465048899e-01,-1.129800498571149059e-01,-3.692064557328745278e-01,2.128673414910138284e-01,-8.156710094485397633e-02,6.635976790342610343e-01,-3.031104196838709797e-01,-2.277385716246468628e-01
8.854819799999999574e+00,-4.829212048843433691e-01,9.990074914690461050e-02,-5.224623131954064803e-02,8.820290418353646800e-01,-4.017203212042472771e-01,-1.126975590980601183e-01,-3.697343502222681377e-01,2.120917984283601232e-01,-8.140263933226976611e-02,6.646541730420132410e-01,-3.035894780461823039e-01,-2.269573081552563043e-01
8.874296799999999763e+00,-4.641752030454692202e-01,9.949193819915591597e-02,-4.968853011842178091e-02,8.482242403922644058e-01,-3.865233902570022195e-01,-1.111730302355487809e-01,-3.704775840682779653e-01,2.109931360181136473e-01,-8.116698765159124918e-02,6.661424728206561952e-01,-3.042643049129050148e-01,-2.258496987179770266e-01
8.883450500000000361e+00,-4.648951693594583490e-01,9.661413469270829779e-02,-4.834477569362283234e-02,8.497815595372166797e-01,-3.872240570708651575e-01,-1.080010676321210422e-01,-3.724617443862576760e-01,2.080205021364136542e-01,-8.051387398393772266e-02,6.701205117323940641e-01,-3.060678584379283862e-01,-2.228479251933601912e-01
8.893549000000000149e+00,-4.652399508684320062e-01,9.105513807308529550e-02,-4.561415390842582518e-02,8.508794305201945463e-01,-3.877179768677674332e-01,-1.018132357628759171e-01,-3.761882940268510556e-01,2.022742149293466074e-01,-7.918857362871278838e-02,6.776109936056311511e-01,-3.094631808302614751e-01,-2.170251026011810191e-01
8.903382600000000480e+00,-4.658727252660742058e-01,8.274172632651910497e-02,-4.152991269724126688e-02,8.526824417268343836e-01,-3.885290723904262222e-01,-9.255802893963943623e-02,-3.814925764398789942e-01,1.936953156558236522e-01,-7.706194641345853746e-02,6.883163949380799451e-01,-3.143141814099665865e-01,-2.082833072606923575e-01
8.912723500000000243e+00,-4.663310494121265526e-01,7.205616046797302943e-02,-3.622287447388483628e-02,8.542672474504584557e-01,-3.892419462068410496e-01,-8.063445336993314838e-02,-3.878613818898067334e-01,1.826894903218621025e-01,-7.408874198140891210e-02,7.012392238235438668e-01,-3.201674248751018581e-01,-1.969856987505526347e-01
8.923119800000000268e+00,-4.663772999118231954e-01,5.956726185237681825e-02,-2.996046124751861051e-02,8.551020869073298059e-01,-3.896174489762174176e-01,-6.666952778034558602e-02,-3.946983540532702506e-01,1.698569492172561368e-01,-7.029946012680232670e-02,7.151975594498720668e-01,-3.264864755235699079e-01,-1.837001961425047125e-01
