time_s,neck_pitch_joint,head_roll_joint,head_yaw_joint,head_pitch_joint,neck_pitch_joint_fit,head_roll_joint_fit,head_yaw_joint_fit,head_pitch_joint_fit,neck_pitch_joint_residual,head_roll_joint_residual,head_yaw_joint_residual,head_pitch_joint_residual
0.6666666666666666,0.407282263040542,0.309950500726699,-0.547602117061614,-0.137687966227531,0.41007980693910984,0.31390969389784057,-0.5642316799562967,-0.10159745335057947,-0.0027975438985678447,-0.003959193171141573,0.01662956289468276,-0.03609051287695152
0.7,0.449962317943572,0.34200832247734,-0.594960033893585,-0.129629865288734,0.4074426195201249,0.312239380867713,-0.5851833569844781,-0.09299787809139022,0.042519698423447105,0.029768941609626953,-0.009776676909106885,-0.03663198719734377
0.7333333333333333,0.449999988079071,0.344177335500717,-0.64556062221527,-0.0894564613699913,0.4055779430102667,0.30033834384407365,-0.588316134897688,-0.09006021969087044,0.04442204506880432,0.043838991656643345,-0.05724448731758203,0.0006037583208791386
0.7666666666666667,0.449999988079071,0.28547129034996,-0.653622806072235,-0.0353200212121009,0.403791380242371,0.2790141765929888,-0.5723384790859782,-0.09325005101434387,0.0462086078367,0.006457113756971167,-0.08128432698625676,0.057930029802242974
0.8,0.449997544288635,0.225668027997016,-0.561946153640747,-0.0686765909194946,0.4014370156179272,0.2505282939059342,-0.5382509325740494,-0.102281393810187,0.04856052867070776,-0.024860265908918183,-0.023695221066697525,0.0336048028906924
0.8333333333333334,0.440339982509613,0.175814092159271,-0.504573047161102,-0.0977789312601089,0.3980803965978895,0.21829482287439847,-0.48940936425060033,-0.11619679590441842,0.04225958591172346,-0.04248073071512748,-0.01516368291050163,0.018417864644309515
0.8666666666666667,0.402553468942642,0.143120393157005,-0.442370891571044,-0.141141131520271,0.3936069563988246,0.18639984886029368,-0.43127907579080355,-0.1335131764517946,0.008946512543817398,-0.04327945570328867,-0.011091815780240433,-0.007627955068476383
0.9,0.341074138879776,0.136518195271492,-0.320189714431762,-0.185558795928955,0.38825706252987857,0.15900749041677106,-0.3708860720819745,-0.1524132895630369,-0.04718292365010257,-0.02248929514527906,0.05069635765021252,-0.03314550636591809
0.9333333333333333,0.309568792581558,0.138442084193229,-0.256313055753707,-0.18757352232933,0.38258247396839734,0.13973815542659487,-0.31601694358336613,-0.1709594871394704,-0.07301368138683934,-0.0012960712333658642,0.05970388782965913,-0.0166140351898596
0.9666666666666667,0.29044359922409,0.14345408976078,-0.202508941292762,-0.177389606833457,0.3773332763256472,0.13111091827740248,-0.27425965244594597,-0.18730598745296204,-0.0868896771015572,0.012343171483377519,0.07175071115318396,0.009916380619505033
1.0,0.316838264465332,0.175782456994056,-0.259910374879837,-0.173887223005294,0.3732969350359021,0.1341349290241001,-0.2520074421789579,-0.19988786601988054,-0.056458670570570135,0.04164752796995591,-0.007902932700879106,0.026000643014586544
1.0333333333333334,0.375306963920593,0.191868424415588,-0.272281378507614,-0.181970998644828,0.37111985877667497,0.1481148252688966,-0.2535618136419153,-0.20756902904725252,0.004187105143918013,0.043753599146691385,-0.0187195648656987,0.025598030402424532
